what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303250210478
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.window.maximizePart",1303250215252
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303250223308
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.navigate.openResource",1303250224307
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303250224321
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303250231427
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1303250241237
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1303250241364
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.navigate.openResource",1303250241374
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303250241394
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1303250245900
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1303250247547
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1303250248210
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1303250248591
started,bundle,org.eclipse.ui.cheatsheets,3.4.0.v20100427,"org.eclipse.ui.cheatsheets",1303250257535
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.window.quickAccess",1303250257804
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303250257826
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303250260381
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303250260661
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.edit.text.java.create.getter.setter",1303250265024
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303250265045
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.textEnd",1303250266721
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.window.quickAccess",1303250349462
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303250349484
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303250357158
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303250357322
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.edit.text.java.generate.constructor.using.fields",1303250358539
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303250358563
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.textStart",1303250360988
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.findReplace",1303250363634
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303250363660
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303250364308
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.edit.text.java.show.outline",1303250366328
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303250366348
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303250368619
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1303250372260
started,bundle,org.eclipse.jst.ws.jaxws.ui,1.0.1.v201008232129,"org.eclipse.jst.ws.jaxws.ui",1303250378514
started,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1303250378541
started,bundle,org.eclipse.pde.api.tools,1.0.202.v20100820_r361,"org.eclipse.pde.api.tools",1303250378691
started,bundle,org.eclipse.pde.api.tools.ui,1.0.201.v20100820_r361,"org.eclipse.pde.api.tools.ui",1303250378696
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1303250378914
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineEnd",1303250382608
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1303250382879
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineEnd",1303250383813
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1303250388139
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1303250390073
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineEnd",1303250390481
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1303250393695
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1303250401176
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals",1303250403172
